"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Palm Beach Atlantic University","West Palm Beach","FL",95.27,1071,530,514,24,2585,38513,26274,26274,0.55,0.53,"Medium","South","Medium"
"University of South Florida","Tampa","FL",53.16,1162,575,585,26,30279,19306,6410,17324,0.67,0.71,"High","South","Very Large"
"St. Thomas University","Miami Gardens","FL",84.9,919,465,460,19,931,40271,27150,27150,0.33,0.44,"Medium","South","Very Small"
"Southeastern University","Lakeland","FL",43.94,965,495,465,21,2946,31855,22202,22202,0.42,0.4,"Low","South","Medium"
"The University of Tampa","Tampa","FL",51.88,1094,535,540,25,6811,38635,26330,26330,0.62,0.6,"Medium","South","Large"
"Trinity Baptist College","Jacksonville","FL",63.68,899,454,458,19,352,17757,10110,10110,0.41,0.35,"Low","South","Very Small"
"Warner University","Lake Wales","FL",26,863,429,425,18,1011,29323,18966,18966,0.38,0.4,"Low","South","Small"
"Webber International University","Babson Park","FL",50.56,950,470,480,20,687,36402,24034,24034,0.3,0.32,"Low","South","Very Small"
"The University of West Florida","Pensacola","FL",41.67,1065,520,505,24,9794,17697,6360,19241,0.51,0.44,"Medium","South","Very Large"
"Albany State University","Albany","GA",47.29,875,450,430,18,3261,18488,5192,15196,0.4,0.24,"Low","South","Large"
"Armstrong State University","Savannah","GA",68.03,1006,510,495,22,6162,19983,5266,15271,0.3,0.32,"Low","South","Large"
"Point University","West Point","GA",51.89,917,455,470,19,1399,27053,17650,17650,0.37,0.27,"Low","South","Small"
"Clark Atlanta University","Atlanta","GA",84.67,860,430,420,18,2567,35471,21334,21334,0.41,0.4,"Low","South","Medium"
"Berry College","Mount Berry","GA",60.83,1183,580,580,27,2065,43283,30530,30530,0.62,0.64,"High","South","Medium"
"Clayton  State University","Morrow","GA",42.45,930,470,460,20,6064,17292,5246,15251,0.33,0.24,"Low","South","Large"
