"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Webb Institute","Glen Cove","NY",32.99,1420,685,735,32,90,61820,44000,44000,0.91,0.77,"High","Northeast","Very Small"
"Wells College","Aurora","NY",56.59,1053,525,510,24,525,49800,36700,36700,0.58,0.24,"Low","Northeast","Very Small"
"Yeshiva University","New York","NY",81.8,1221,620,620,26,2814,55075,38730,38730,0.85,0.82,"High","Northeast","Medium"
"Appalachian State University","Boone","NC",62.66,1148,575,575,25,16116,19017,6553,19720,0.7,0.73,"High","South","Very Large"
"Barton College","Wilson","NC",38.46,962,475,480,21,998,38209,26664,26664,0.44,0.53,"Medium","South","Very Small"
"Belmont Abbey College","Belmont","NC",69.23,1000,495,510,21,1545,31278,18500,18500,0.38,0.43,"Medium","South","Small"
"Campbell University","Buies Creek","NC",68.06,1025,525,500,22,4228,42061,27530,27530,0.51,0.52,"Medium","South","Large"
"Chowan University","Murfreesboro","NC",59.81,773,395,395,15,1478,31573,22900,22900,0.25,0.26,"Low","South","Small"
"Davidson College","Davidson","NC",21.67,1337,665,670,30,1765,57458,45377,45377,0.93,0.91,"High","South","Small"
"Duke University","Durham","NC",11.41,1454,715,745,33,6480,61748,47243,47243,0.95,0.95,"High","South","Large"
"East Carolina University","Greenville","NC",77.28,1036,510,530,22,21207,20710,6143,21340,0.59,0.62,"High","South","Very Large"
"Elizabeth City State University","Elizabeth City","NC",49,866,425,440,19,1763,12305,4498,16173,0.39,0.38,"Low","South","Small"
"Elon University","Elon","NC",53.93,1225,610,615,27,5782,43388,31247,31247,0.81,0.84,"High","South","Large"
"Fayetteville State University","Fayetteville","NC",50.32,892,435,450,19,4862,14366,4655,16263,0.35,0.33,"Low","South","Large"
"Gardner-Webb University","Boiling Springs","NC",67.12,1020,503,510,22,2688,37620,27080,27080,0.54,0.5,"Medium","South","Medium"
"Greensboro College","Greensboro","NC",73.11,876,435,445,18,741,38810,26850,26850,0.37,0.16,"Low","South","Very Small"
"High Point University","High Point","NC",80.19,1096,545,556,24,4197,45350,31480,31480,0.63,0.63,"High","South","Large"
"Johnson C Smith University","Charlotte","NC",42.25,808,405,405,17,1375,31993,18236,18236,0.44,0.44,"Medium","South","Small"
"Livingstone College","Salisbury","NC",64.25,720,363,360,15,1301,25920,16825,16825,0.24,0.26,"Low","South","Small"
"Mars Hill University","Mars Hill","NC",62.09,924,455,465,20,1396,38086,27590,27590,0.37,0.31,"Low","South","Small"
"Methodist University","Fayetteville","NC",55.94,962,470,475,21,2171,46685,29080,29080,0.34,0.31,"Low","South","Medium"
"Montreat College","Montreat","NC",46.06,1016,570,465,21,647,35580,23520,23520,0.37,0.32,"Low","South","Very Small"
"University of Mount Olive","Mount Olive","NC",46.85,902,448,465,19,3258,26982,17800,17800,0.42,0.42,"Medium","South","Large"
"North Carolina A & T State University","Greensboro","NC",57,910,450,460,19,8894,18198,5642,18402,0.48,0.43,"Medium","South","Large"
"University of North Carolina at Asheville","Asheville","NC",73.14,1191,610,585,26,3425,18574,6392,21263,0.64,0.62,"High","South","Large"
"University of North Carolina at Chapel Hill","Chapel Hill","NC",28.5,1328,650,670,30,17908,23978,8336,33418,0.9,0.91,"High","South","Very Large"
"University of North Carolina at Charlotte","Charlotte","NC",64.09,1079,530,555,23,22120,18044,6277,19448,0.55,0.54,"Medium","South","Very Large"
"University of North Carolina at Greensboro","Greensboro","NC",60.73,1043,515,515,23,14497,18640,6454,21316,0.56,0.54,"Medium","South","Very Large"
"North Carolina Central University","Durham","NC",43.22,886,440,445,19,5554,18354,5526,16941,0.47,0.44,"Medium","South","Large"
"University of North Carolina School of the Arts","Winston Salem","NC",43.2,1116,570,550,24,852,21554,8363,23733,0.59,0.7,"High","South","Very Small"
"North Carolina State University at Raleigh","Raleigh","NC",51.6,1253,605,640,28,22925,22046,8296,23551,0.75,0.79,"High","South","Very Large"
"North Carolina Wesleyan College","Rocky Mount","NC",53.26,923,468,482,18,1864,37812,27400,27400,0.35,0.31,"Low","South","Medium"
"University of North Carolina Wilmington","Wilmington","NC",58.55,1145,590,600,24,12686,20292,6392,20420,0.71,0.72,"High","South","Very Large"
"William Peace University","Raleigh","NC",62.91,890,445,445,19,1077,38415,24650,24650,0.36,0.39,"Low","South","Small"
"University of North Carolina at Pembroke","Pembroke","NC",73.26,930,460,470,20,5303,17014,5287,15239,0.34,0.4,"Low","South","Large"
"Pfeiffer University","Misenheimer","NC",47.23,948,475,510,19,951,35538,25855,25855,0.35,0.42,"Medium","South","Very Small"
"Piedmont International University","Winston-Salem","NC",46.07,937,500,460,20,190,21468,9580,9580,0.38,0.24,"Low","South","Very Small"
"Queens University of Charlotte","Charlotte","NC",78.45,1051,525,515,23,1621,43239,30910,30910,0.62,0.54,"Medium","South","Small"
"Mid-Atlantic Christian University","Elizabeth City","NC",37.89,983,470,455,23,195,25268,12800,12800,0.36,0.25,"Low","South","Very Small"
"Saint Augustine's University","Raleigh","NC",74.03,740,360,368,16,1016,31636,17890,17890,0.33,0.31,"Low","South","Small"
"Salem College","Winston-Salem","NC",59.85,1102,555,545,24,946,40574,25356,25356,0.65,0.57,"Medium","South","Very Small"
"Warren Wilson College","Swannanoa","NC",71.77,1134,585,530,26,819,43000,30852,30852,0.51,0.53,"Medium","South","Very Small"
"Wingate University","Wingate","NC",75.06,1001,499,510,21,1941,36669,26300,26300,0.51,0.52,"Medium","South","Medium"
"Winston-Salem State University","Winston-Salem","NC",60.16,859,430,435,18,4743,16559,5583,15113,0.46,0.49,"Medium","South","Large"
"Western Carolina University","Cullowhee","NC",43.11,1035,515,525,22,8603,18549,6305,16698,0.58,0.59,"Medium","South","Large"
"Dickinson State University","Dickinson","ND",61.03,957,460,425,21,1231,13730,6050,8495,0.33,0.32,"Low","North Central","Small"
"University of Jamestown","Jamestown","ND",64.36,1178,561,586,26,866,28522,19170,19170,0.49,0.53,"Medium","North Central","Very Small"
"University of Mary","Bismarck","ND",78.65,1050,525,525,23,1928,23793,15665,15665,0.46,0.54,"Medium","North Central","Medium"
"Minot State University","Minot","ND",57.68,1035,464,490,23,2570,14689,6225,6225,0.4,0.37,"Low","North Central","Medium"
"University of North Dakota","Grand Forks","ND",86,1090,533,545,24,10978,20306,7741,18409,0.55,0.54,"Medium","North Central","Very Large"
"North Dakota State University-Main Campus","Fargo","ND",82.74,1092,560,583,24,11763,18766,7940,18969,0.56,0.58,"Medium","North Central","Very Large"
"Trinity Bible College and Graduate School","Ellendale","ND",36.45,946,450,472,20,212,25694,14620,14620,0.39,0.41,"Medium","North Central","Very Small"
"Valley City State University","Valley City","ND",90.27,1020,436,462,22,952,16643,6674,15070,0.48,0.35,"Low","North Central","Very Small"
"University of Akron Main Campus","Akron","OH",95.71,1050,515,535,23,18148,21772,10260,18792,0.42,0.38,"Low","North Central","Very Large"
"Art Academy of Cincinnati","Cincinnati","OH",24.34,961,485,425,21,201,34457,26376,26376,0.62,0.56,"Medium","North Central","Very Small"
"Ashland University","Ashland","OH",72.57,1048,505,525,23,3227,41577,19852,19852,0.57,0.6,"Medium","North Central","Large"
"Bluffton University","Bluffton","OH",56.03,1029,505,515,22,896,41351,29316,29316,0.6,0.51,"Medium","North Central","Very Small"
"Bowling Green State University-Main Campus","Bowling Green","OH",53.37,1012,510,515,22,13697,22998,10726,18034,0.55,0.53,"Medium","North Central","Very Large"
"Capital University","Columbus","OH",72.74,1100,530,545,24,2636,43603,32190,32190,0.59,0.59,"Medium","North Central","Medium"
"Case Western Reserve University","Cleveland","OH",38.31,1375,660,710,31,4807,57405,43158,43158,0.81,0.83,"High","North Central","Large"
"Cedarville University","Cedarville","OH",74.49,1187,595,595,26,3082,34902,26420,26420,0.7,0.72,"High","North Central","Large"
"Central State University","Wilberforce","OH",37.72,804,400,400,17,1728,17695,6246,13928,0.22,0.2,"Low","North Central","Small"
"Cincinnati Christian University","Cincinnati","OH",58.51,969,495,473,21,602,27591,15266,15266,0.36,0.4,"Low","North Central","Very Small"
"University of Cincinnati-Main Campus","Cincinnati","OH",75.78,1165,570,595,26,23795,26196,11000,26334,0.6,0.69,"High","North Central","Very Large"
"Cleveland Institute of Art","Cleveland","OH",66.99,1048,545,500,23,551,51934,37565,37565,0.65,0.56,"Medium","North Central","Very Small"
"Cleveland State University","Cleveland","OH",84.21,1014,515,520,22,11308,21684,9686,12928,0.39,0.43,"Medium","North Central","Very Large"
"Columbus College of Art and Design","Columbus","OH",88.64,1044,555,535,22,1193,41140,30390,30390,0.56,0.24,"Low","North Central","Small"
"University of Dayton","Dayton","OH",59.01,1194,560,585,27,8305,49540,37230,37230,0.76,0.79,"High","North Central","Large"
"Defiance College","Defiance","OH",64.69,975,460,460,21,801,40814,29916,29916,0.49,0.39,"Low","North Central","Very Small"
"The University of Findlay","Findlay","OH",71.97,1035,515,475,23,2767,40131,30640,30640,0.55,0.61,"High","North Central","Medium"
"Heidelberg University","Tiffin","OH",75.06,1027,490,510,22,1096,37390,27480,27480,0.47,0.49,"Medium","North Central","Small"
"Hiram College","Hiram","OH",62.08,1004,480,490,22,1217,42650,30290,30290,0.63,0.56,"Medium","North Central","Small"
"John Carroll University","University Heights","OH",82.91,1116,545,555,25,3069,46851,35800,35800,0.71,0.78,"High","North Central","Large"
"Kent State University at Kent","Kent","OH",84.38,1050,525,525,23,22530,23933,10012,17972,0.55,0.58,"Medium","North Central","Very Large"
"Kenyon College","Gambier","OH",25.06,1332,675,650,30,1651,59960,47330,47330,0.89,0.91,"High","North Central","Small"
"Lake Erie College","Painesville","OH",69.36,966,465,488,21,761,39524,28354,28354,0.49,0.46,"Medium","North Central","Very Small"
"Malone University","Canton","OH",71.74,1045,500,522,23,1496,36369,26416,26416,0.51,0.49,"Medium","North Central","Small"
"Miami University-Oxford","Oxford","OH",65.84,1240,600,625,28,15454,29701,14287,30391,0.79,0.79,"High","North Central","Very Large"
"University of Mount Union","Alliance","OH",73.55,1057,495,515,23,2144,38400,27990,27990,0.63,0.62,"High","North Central","Medium"
"Mount Vernon Nazarene University","Mount Vernon","OH",75.98,1046,495,490,23,1706,34801,24650,24650,0.58,0.63,"High","North Central","Small"
"Mount Saint Joseph University","Cincinnati","OH",87.62,1005,500,485,22,1463,32785,26850,26850,0.53,0.61,"High","North Central","Small"
"Muskingum University","New Concord","OH",76.44,1009,490,510,22,1598,35175,24676,24676,0.53,0.48,"Medium","North Central","Small"
"Notre Dame College","Cleveland","OH",89.5,937,435,445,20,1820,36645,26844,26844,0.36,0.37,"Low","North Central","Medium"
"Oberlin College","Oberlin","OH",32.72,1349,685,670,30,2961,62051,48682,48682,0.88,0.86,"High","North Central","Medium"
"Ohio Dominican University","Columbus","OH",46.57,1005,465,485,22,1350,41470,29430,29430,0.43,0.47,"Medium","North Central","Small"
"Ohio Northern University","Ada","OH",68.59,1180,570,590,26,2234,50960,28050,28050,0.69,0.76,"High","North Central","Medium"
"Ohio State University-Main Campus","Columbus","OH",52.96,1292,600,675,29,43733,25029,10037,26537,0.84,0.83,"High","North Central","Very Large"
"Ohio University-Main Campus","Athens","OH",74.27,1106,545,545,24,23390,24990,10602,19566,0.67,0.64,"High","North Central","Very Large"
"Otterbein University","Westerville","OH",75.31,1094,554,560,24,2271,43190,31442,31442,0.59,0.64,"High","North Central","Medium"
"Pontifical College Josephinum","Columbus","OH",94.12,1280,644,654,28,129,36598,21038,21038,0.91,0.24,"Low","North Central","Very Small"
"Franciscan University of Steubenville","Steubenville","OH",77.92,1183,600,580,26,2065,33851,23930,23930,0.76,0.78,"High","North Central","Medium"
"University of Toledo","Toledo","OH",94.73,1031,508,535,22,15182,21480,9463,18801,0.44,0.41,"Medium","North Central","Very Large"
"Ursuline College","Pepper Pike","OH",65.51,1014,510,520,22,694,37601,27700,27700,0.5,0.53,"Medium","North Central","Very Small"
"Walsh University","North Canton","OH",80.68,1043,495,510,23,2257,36976,26650,26650,0.55,0.61,"High","North Central","Medium"
"The College of Wooster","Wooster","OH",59.09,1229,595,615,28,2029,53500,43350,43350,0.76,0.77,"High","North Central","Medium"
"Xavier University","Cincinnati","OH",73.15,1113,545,545,25,4464,46740,33960,33960,0.71,0.69,"High","North Central","Large"
"Youngstown State University","Youngstown","OH",83.3,985,475,485,21,10695,16029,8317,8557,0.33,0.34,"Low","North Central","Very Large"
"Oklahoma Wesleyan University","Bartlesville","OK",62.7,999,475,495,22,1153,33336,23180,23180,0.37,0.45,"Medium","South","Small"
"East Central University","Ada","OK",97.19,1005,440,500,22,3636,12295,5599,13512,0.34,0.33,"Low","South","Large"
"Randall University","Moore","OK",53.13,940,395,415,20,226,23151,11980,11980,0.32,0.24,"Low","South","Very Small"
"Northeastern State University","Tahlequah","OK",75.01,1009,461,474,22,6914,14395,5285,12635,0.31,0.32,"Low","South","Large"
"Oklahoma Christian University","Edmond","OK",64.01,1127,540,540,25,1941,29488,19120,19120,0.47,0.54,"Medium","South","Medium"
"Oklahoma State University-Main Campus","Stillwater","OK",74.95,1137,540,565,25,20636,21629,7442,20027,0.61,0.62,"High","South","Very Large"
"Oklahoma Baptist University","Shawnee","OK",60.48,1171,575,538,26,1824,33213,22800,22800,0.51,0.59,"Medium","South","Medium"
"Oklahoma City University","Oklahoma City","OK",67.77,1165,585,580,26,1793,42983,30726,30726,0.59,0.63,"High","South","Small"
"University of Oklahoma-Norman Campus","Norman","OK",81.33,1189,595,605,26,20538,23384,9495,22269,0.67,0.67,"High","South","Very Large"
"Oral Roberts University","Tulsa","OK",79.76,1010,496,480,22,2947,36011,23410,23410,0.53,0.57,"Medium","South","Medium"
"University of Science and Arts of Oklahoma","Chickasha","OK",67.55,1039,442,460,23,845,14731,6270,15210,0.46,0.31,"Low","South","Very Small"
"Southwestern Christian University","Bethany","OK",80.88,981,500,520,21,774,23156,12470,12470,0.36,0.25,"Low","South","Very Small"
"University of Tulsa","Tulsa","OK",40.26,1296,635,635,29,3441,49323,35855,35855,0.7,0.69,"High","South","Large"
"Concordia University-Portland","Portland","OR",52.62,1037,520,520,22,1243,36978,27420,27420,0.55,0.48,"Medium","West","Small"
"Eastern Oregon University","La Grande","OR",64.18,948,470,465,21,2997,20421,7440,17509,0.34,0.31,"Low","West","Medium"
"George Fox University","Newberg","OR",77.76,1081,540,545,23,2494,43033,31866,31866,0.65,0.72,"High","West","Medium"
"Linfield University-McMinnville Campus","McMinnville","OR",93.77,1083,540,540,24,1643,48058,37416,37416,0.71,0.78,"High","West","Small"
"Multnomah University","Portland","OR",56.67,1047,540,530,21,418,35313,22100,22100,0.54,0.24,"Low","West","Very Small"
"Bushnell University","Eugene","OR",71.91,987,507,489,21,492,34496,26180,26180,0.66,0.55,"Medium","West","Very Small"
"Oregon Institute of Technology","Klamath Falls","OR",59.84,1044,500,525,24,3457,20395,8445,23670,0.47,0.45,"Medium","West","Large"
"Oregon State University","Corvallis","OR",77.76,1112,545,560,25,22925,23326,9122,26294,0.63,0.65,"High","West","Very Large"
"University of Oregon","Eugene","OR",74.9,1116,550,560,25,20252,23055,9918,30888,0.69,0.72,"High","West","Very Large"
"Pacific University","Forest Grove","OR",80.45,1090,540,550,24,1802,50486,38510,38510,0.59,0.64,"High","West","Medium"
"Portland State University","Portland","OR",69.33,1030,520,510,22,19662,20318,7794,23319,0.42,0.49,"Medium","West","Very Large"
"Reed College","Portland","OR",38.73,1383,705,680,31,1335,59595,47760,47760,0.79,0.8,"High","West","Small"
"Southern Oregon University","Ashland","OR",77.37,1029,520,500,23,4397,19231,7701,21279,0.4,0.38,"Low","West","Large"
"Corban University","Salem","OR",37.38,1016,518,500,22,924,39327,28640,28640,0.56,0.5,"Medium","West","Very Small"
"Willamette University","Salem","OR",81.31,1209,605,595,27,2009,54536,44076,44076,0.77,0.24,"Low","West","Medium"
"Western Oregon University","Monmouth","OR",88.74,1001,515,500,21,4923,21996,9105,22200,0.47,0.24,"Low","West","Large"
"Bryn Athyn College of the New Church","Bryn Athyn","PA",58.02,900,445,450,20,271,27788,18609,18609,0.48,0.51,"Medium","Northeast","Very Small"
"Allegheny College","Meadville","PA",71.77,1170,585,575,26,1968,51883,40660,40660,0.78,0.75,"High","Northeast","Medium"
"DeSales University","Center Valley","PA",79.65,1033,515,505,24,2383,46691,32350,32350,0.71,0.7,"High","Northeast","Medium"
"Alvernia University","Reading","PA",74.79,970,475,495,21,2272,40723,30080,30080,0.53,0.6,"Medium","Northeast","Medium"
"Clarks Summit University","Clarks Summit","PA",86.49,1004,502,498,22,570,28867,20250,20250,0.54,0.24,"Low","Northeast","Very Small"
"Arcadia University","Glenside","PA",58.8,1105,550,550,25,2482,50832,38160,38160,0.6,0.66,"High","Northeast","Medium"
"Bloomsburg University of Pennsylvania","Bloomsburg","PA",87.81,970,485,490,20,9109,21631,8914,19364,0.65,0.58,"Medium","Northeast","Very Large"
"Bryn Mawr College","Bryn Mawr","PA",40.47,1313,655,665,29,1303,59760,45540,45540,0.82,0.83,"High","Northeast","Small"
"Bucknell University","Lewisburg","PA",30.72,1317,635,670,30,3528,61060,48498,48498,0.89,0.9,"High","Northeast","Large"
"Cabrini University","Radnor","PA",75.28,897,450,440,20,1334,43480,29842,29842,0.5,0.58,"Medium","Northeast","Small"
"California University of Pennsylvania","California","PA",89.67,934,470,465,20,6031,23500,9556,13550,0.53,0.52,"Medium","Northeast","Large"
"Carlow University","Pittsburgh","PA",90.7,941,473,473,20,1323,36704,26178,26178,0.6,0.57,"Medium","Northeast","Small"
"Carnegie Mellon University","Pittsburgh","PA",24.6,1436,690,750,32,5819,61990,49022,49022,0.88,0.89,"High","Northeast","Large"
"Cedar Crest College","Allentown","PA",52.33,1005,504,500,22,1310,42202,34504,34504,0.69,0.5,"Medium","Northeast","Small"
"Chestnut Hill College","Philadelphia","PA",74.71,968,480,485,21,1428,43477,32110,32110,0.47,0.55,"Medium","Northeast","Small"
"Clarion University of Pennsylvania","Clarion","PA",92.71,928,460,470,19,4744,21814,9788,13760,0.5,0.5,"Medium","Northeast","Large"
"Delaware Valley University","Doylestown","PA",75.74,990,490,500,21,1823,46333,33826,33826,0.58,0.56,"Medium","Northeast","Medium"
"Drexel University","Philadelphia","PA",76.01,1186,580,620,25,16681,56402,47051,47051,0.67,0.71,"High","Northeast","Very Large"
"Duquesne University","Pittsburgh","PA",73.06,1144,570,565,26,5969,43963,32636,32636,0.78,0.8,"High","Northeast","Large"
"East Stroudsburg University of Pennsylvania","East Stroudsburg","PA",81.46,954,475,480,20,6125,21947,9376,19826,0.56,0.48,"Medium","Northeast","Large"
"Eastern University","Saint Davids","PA",62.18,1038,520,515,23,2381,40966,29680,29680,0.61,0.63,"High","Northeast","Medium"
"Edinboro University of Pennsylvania","Edinboro","PA",99.3,928,470,465,19,5494,20026,9256,13249,0.45,0.43,"Medium","Northeast","Large"
"Elizabethtown College","Elizabethtown","PA",70.82,1133,565,565,25,1754,49314,39920,39920,0.69,0.75,"High","Northeast","Small"
"Gannon University","Erie","PA",77.67,1037,510,520,23,2763,38895,28368,28368,0.66,0.68,"High","Northeast","Medium"
"Geneva College","Beaver Falls","PA",71.06,1072,542,525,24,1404,35261,25220,25220,0.65,0.69,"High","Northeast","Small"
"Gwynedd Mercy University","Gwynedd Valley","PA",76.38,961,475,485,21,1941,41758,30460,30460,0.6,0.49,"Medium","Northeast","Medium"
"Haverford College","Haverford","PA",24.69,1422,710,700,33,1187,61898,47214,47214,0.94,0.93,"High","Northeast","Small"
"Holy Family University","Philadelphia","PA",73.26,925,465,460,20,1797,32954,28456,28456,0.56,0.24,"Low","Northeast","Small"
"Immaculata University","Immaculata","PA",75.94,962,485,480,20,2012,47048,32000,32000,0.61,0.62,"High","Northeast","Medium"
"Indiana University of Pennsylvania-Main Campus","Indiana","PA",94.73,958,480,480,20,12032,22692,9470,20965,0.53,0.56,"Medium","Northeast","Very Large"
"Keystone College","La Plume","PA",92.05,921,460,460,20,1431,32907,21900,21900,0.42,0.24,"Low","Northeast","Small"
"Kutztown University of Pennsylvania","Kutztown","PA",79.67,960,485,480,20,8516,23383,9099,19549,0.55,0.53,"Medium","Northeast","Large"
"La Roche University","Pittsburgh","PA",93.94,926,450,475,20,1269,37094,25500,25500,0.43,0.5,"Medium","Northeast","Small"
"La Salle University","Philadelphia","PA",78.23,994,500,495,21,4122,48965,39800,39800,0.66,0.24,"Low","Northeast","Large"
"Lafayette College","Easton","PA",29.75,1300,630,670,29,2471,59750,46385,46385,0.9,0.9,"High","Northeast","Medium"
"Lancaster Bible College","Lancaster","PA",59.46,996,513,490,21,1336,28517,18800,18800,0.62,0.57,"Medium","Northeast","Small"
"Lehigh University","Bethlehem","PA",34.27,1326,630,690,30,5034,57043,44890,44890,0.87,0.86,"High","Northeast","Large"
"Lincoln University","Lincoln University","PA",27.16,862,427,430,19,1576,23239,10232,15618,0.41,0.46,"Medium","Northeast","Small"
"Lock Haven University","Lock Haven","PA",93.39,947,470,480,20,4448,20824,9276,17726,0.47,0.55,"Medium","Northeast","Large"
"Lycoming College","Williamsport","PA",72.22,1043,512,530,23,1340,45746,34706,34706,0.62,0.67,"High","Northeast","Small"
"Mansfield University of Pennsylvania","Mansfield","PA",90.7,950,470,480,20,2518,20711,9526,19976,0.53,0.5,"Medium","Northeast","Medium"
"Messiah University","Mechanicsburg","PA",79.98,1125,560,565,25,2713,42624,31340,31340,0.8,0.81,"High","Northeast","Medium"
"Millersville University of Pennsylvania","Millersville","PA",68.71,1012,505,510,21,7070,20437,10268,23868,0.64,0.24,"Low","Northeast","Large"
"Misericordia University","Dallas","PA",71.46,1074,530,540,24,2407,40111,29010,29010,0.71,0.76,"High","Northeast","Medium"
"Moravian College","Bethlehem","PA",86.2,1022,505,515,22,1564,47447,37572,37572,0.69,0.63,"High","Northeast","Small"
"Neumann University","Aston","PA",94.04,853,425,430,17,2464,38072,25860,25860,0.55,0.57,"Medium","Northeast","Medium"
"Pennsylvania State University-Penn State Erie-Behrend College","Erie","PA",86.7,1054,510,545,23,3891,28674,14588,21820,0.69,0.65,"High","Northeast","Large"
"Pennsylvania State University-Penn State New Kensington","New Kensington","PA",81.23,974,485,490,20,627,20140,13588,20274,0.48,0.47,"Medium","Northeast","Very Small"
"Pennsylvania State University-Penn State Shenango","Sharon","PA",67.16,885,435,430,20,468,21818,13332,19888,0.32,0.24,"Low","Northeast","Very Small"
"Pennsylvania State University-Penn State Wilkes-Barre","Lehman","PA",83.8,964,475,490,19,493,21102,13588,20274,0.49,0.6,"Medium","Northeast","Very Small"
"Pennsylvania State University-Penn State Scranton","Dunmore","PA",76.11,959,475,485,20,1073,20069,13882,20718,0.46,0.38,"Low","Northeast","Small"
"Pennsylvania State University-Penn State Lehigh Valley","Center Valley","PA",85.12,1003,493,510,22,775,19896,13930,20766,0.54,0.55,"Medium","Northeast","Very Small"
"Pennsylvania State University-Penn State Altoona","Altoona","PA",88.35,1001,495,505,22,3829,28799,14588,21820,0.65,0.64,"High","Northeast","Large"
"Pennsylvania State University-Penn State Beaver","Monaca","PA",81.07,954,475,485,19,665,23197,13636,20322,0.41,0.46,"Medium","Northeast","Very Small"
"Pennsylvania State University-Penn State Berks","Reading","PA",88.66,973,475,495,22,2699,27877,14588,21820,0.57,0.57,"Medium","Northeast","Medium"
"Pennsylvania State University-Penn State Harrisburg","Middletown","PA",82.08,1024,490,530,23,3595,27487,14588,21820,0.67,0.58,"Medium","Northeast","Large"
"Pennsylvania State University-Penn State Brandywine","Media","PA",84.77,968,470,495,22,1334,19966,13942,20778,0.43,0.42,"Medium","Northeast","Small"
"Pennsylvania State University-Main Campus","University Park","PA",50.29,1196,575,615,27,39958,33326,17502,30452,0.86,0.85,"High","Northeast","Very Large"
"Pennsylvania State University-Penn State Greater Allegheny","McKeesport","PA",75.84,967,475,490,21,554,24564,13648,20334,0.38,0.43,"Medium","Northeast","Very Small"
"Pennsylvania State University-Penn State Abington","Abington","PA",79.34,951,460,490,21,3505,19724,13942,20778,0.47,0.5,"Medium","Northeast","Large"
"Pennsylvania State University-Penn State Schuylkill","Schuylkill Haven","PA",74.78,899,450,450,19,755,23930,13870,20706,0.43,0.38,"Low","Northeast","Very Small"
"Pennsylvania State University-Penn State York","York","PA",83.35,1021,495,525,22,948,19907,13930,20766,0.47,0.57,"Medium","Northeast","Very Small"
"University of Pennsylvania","Philadelphia","PA",10.37,1452,720,735,33,10678,61800,47668,47668,0.96,0.96,"High","Northeast","Very Large"
"Jefferson (Philadelphia University + Thomas Jefferson University)","Philadelphia","PA",63.94,1074,530,545,23,2885,48575,35230,35230,0.66,0.66,"High","Northeast","Medium"
"The University of the Arts","Philadelphia","PA",69.54,1006,520,490,21,1726,53508,38410,38410,0.61,0.24,"Low","Northeast","Small"
"Cairn University-Langhorne","Langhorne","PA",97.8,993,510,480,22,805,33730,23245,23245,0.66,0.6,"Medium","Northeast","Very Small"
"University of the Sciences","Philadelphia","PA",57.88,1169,565,605,26,1626,50483,36096,36096,0.74,0.73,"High","Northeast","Small"
"University of Pittsburgh-Bradford","Bradford","PA",65.42,985,480,500,22,1466,24809,13322,24138,0.52,0.42,"Medium","Northeast","Small"
"University of Pittsburgh-Greensburg","Greensburg","PA",74.52,1011,505,510,21,1578,23352,13372,24188,0.53,0.31,"Low","Northeast","Small"
"University of Pittsburgh-Johnstown","Johnstown","PA",80.18,1014,500,515,22,2864,24609,13374,24190,0.51,0.47,"Medium","Northeast","Medium"
"University of Pittsburgh-Pittsburgh Campus","Pittsburgh","PA",53.12,1275,625,645,29,18474,31828,17772,28168,0.82,0.82,"High","Northeast","Very Large"
"Point Park University","Pittsburgh","PA",70.74,995,505,485,22,3100,38106,27190,27190,0.58,0.55,"Medium","Northeast","Large"
"Robert Morris University","Moon Township","PA",76.2,1051,535,520,22,4546,39552,26054,26054,0.62,0.61,"High","Northeast","Large"
"Rosemont College","Rosemont","PA",57.88,993,474,458,25,516,45736,31580,31580,0.43,0.61,"High","Northeast","Very Small"
"Saint Francis University","Loretto","PA",68.72,1033,505,520,23,1932,44190,31078,31078,0.72,0.64,"High","Northeast","Medium"
"Saint Vincent College","Latrobe","PA",71.92,1034,510,525,22,1564,42120,31370,31370,0.74,0.69,"High","Northeast","Small"
"University of Scranton","Scranton","PA",77.26,1125,560,565,25,3909,53567,39956,39956,0.8,0.77,"High","Northeast","Large"
"Shippensburg University of Pennsylvania","Shippensburg","PA",83.13,981,490,495,20,6246,23152,9774,18520,0.55,0.52,"Medium","Northeast","Large"
"Slippery Rock University of Pennsylvania","Slippery Rock","PA",65.97,999,490,505,22,7529,21741,9309,12939,0.67,0.66,"High","Northeast","Large"
"Swarthmore College","Swarthmore","PA",17.02,1433,725,725,32,1530,60671,46060,46060,0.94,0.94,"High","Northeast","Small"
"Temple University","Philadelphia","PA",61.73,1125,555,565,25,27669,27202,14696,24722,0.69,0.24,"Low","Northeast","Very Large"
"Thiel College","Greenville","PA",69.49,970,480,480,21,1025,40841,27828,27828,0.36,0.47,"Medium","Northeast","Small"
"University of Valley Forge","Phoenixville","PA",93.04,941,465,455,22,711,30612,20394,20394,0.48,0.24,"Low","Northeast","Very Small"
"Villanova University","Villanova","PA",49.33,1313,645,665,30,6895,58519,45966,45966,0.89,0.9,"High","Northeast","Large"
"Waynesburg University","Waynesburg","PA",83.56,1008,495,500,23,1501,30780,21290,21290,0.59,0.66,"High","Northeast","Small"
"West Chester University of Pennsylvania","West Chester","PA",53.48,1079,530,545,24,13610,24995,9144,19594,0.67,0.73,"High","Northeast","Very Large"
