"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","San Francisco State University","San Francisco","CA",65.97,990,490,500,21,25170,19998,6468,17628,0.5,"Normal"
"2014_15","University of San Francisco","San Francisco","CA",60.05,1152,565,580,26,6745,58039,41450,41450,0.7,"Normal"
"2014_15","William Jessup University","Rocklin","CA",75.81,1009,510,490,22,1131,37335,24990,24990,0.67,"Normal"
"2014_15","San Jose State University","San Jose","CA",59.85,1038,505,535,22,26528,21112,7323,18483,0.52,"Normal"
"2014_15","Westwood College-Los Angeles","Los Angeles","CA",NA,NA,NA,NA,NA,1689,30487,15140,15140,0.34,"Normal"
"2014_15","Santa Clara University","Santa Clara","CA",49.35,1309,635,665,30,5447,59020,43812,43812,0.85,"Normal"
"2014_15","Scripps College","Claremont","CA",28.4,1360,695,665,31,962,61370,47378,47378,0.87,"Normal"
"2014_15","Shasta Bible College and Graduate School","Redding","CA",100,NA,NA,NA,NA,39,20493,11160,11160,0.38,"Normal"
"2014_15","Simpson University","Redding","CA",57.36,1024,515,515,22,1065,35070,24300,24300,0.52,"Normal"
"2014_15","Saint Mary's College of California","Moraga","CA",75.95,1109,545,555,25,2949,58362,41380,41380,0.69,"Normal"
"2014_15","Sonoma State University","Rohnert Park","CA",80.02,984,495,495,21,8441,22604,7276,18436,0.55,"Normal"
"2014_15","South Baylo University","Anaheim","CA",NA,NA,NA,NA,NA,107,NA,NA,NA,NA,"Normal"
"2014_15","Vanguard University of Southern California","Costa Mesa","CA",58,970,495,475,21,1941,42756,30050,30050,0.55,"Normal"
"2014_15","Southern California Institute of Architecture","Los Angeles","CA",80.79,1151,521,642,24,263,58142,40262,40262,0.72,"Normal"
"2014_15","University of Southern California","Los Angeles","CA",18.02,1380,670,710,31,18392,62092,48280,48280,0.91,"Normal"
"2014_15","Thomas Aquinas College","Santa Paula","CA",82.7,1261,665,600,28,378,35716,24500,24500,0.72,"Normal"
"2014_15","Epic Bible College","Sacramento","CA",NA,NA,NA,NA,NA,208,24963,9689,9689,0.5,"Normal"
"2014_15","Walden University","Minneapolis","MN",NA,NA,NA,NA,NA,8658,30930,12240,12240,0.33,"Normal"
"2014_15","Westmont College","Santa Barbara","CA",79.36,1175,590,580,26,1297,53670,39990,39990,0.78,"Normal"
"2014_15","Whittier College","Whittier","CA",61.88,1061,525,540,23,1624,50361,41836,41836,0.65,"Normal"
"2014_15","Woodbury University","Burbank","CA",NA,NA,NA,NA,NA,1331,44211,35048,35048,0.42,"Normal"
"2014_15","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","Los Angeles","CA",72.97,NA,NA,NA,NA,163,24850,13300,13300,0.38,"Normal"
"2014_15","Adams State University","Alamosa","CO",65.29,955,475,509,20,2110,19043,8014,18814,0.21,"Normal"
