,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1372,2016_17,The Southern Baptist Theological Seminary,Louisville,KY,Bachelor's,NO,99.62,1023.0,524.0,481.0,22.0,847.0,84.77,3.54,5.9,3.54,,17916.0,17916.0,0.33
1373,2016_17,Spalding University,Louisville,KY,Bachelor's,NO,50.3,972.0,499.0,496.0,21.0,1142.0,68.21,19.7,3.68,1.75,34354.0,24388.0,24388.0,0.47
1376,2016_17,Thomas More University,Crestview Hills,KY,Bachelor's,NO,89.09,1027.0,495.0,505.0,22.0,1406.0,77.6,7.25,2.56,0.71,37969.0,29450.0,29450.0,0.51
1377,2016_17,Transylvania University,Lexington,KY,Bachelor's,NO,94.82,,,,,960.0,79.06,3.85,6.25,1.35,46566.0,35830.0,35830.0,0.75
1379,2016_17,Union College,Barbourville,KY,Bachelor's,NO,67.49,950.0,,,20.0,912.0,70.07,14.58,3.07,0.33,35838.0,25135.0,25135.0,0.27
1380,2016_17,Western Kentucky University,Bowling Green,KY,Bachelor's,NO,94.02,1044.0,485.0,490.0,23.0,14956.0,76.56,9.79,3.0,1.32,18309.0,9912.0,24792.0,0.45
1388,2016_17,Centenary College of Louisiana,Shreveport,LA,Bachelor's,NO,64.22,1121.0,525.0,530.0,25.0,473.0,64.9,16.28,6.98,2.75,49351.0,35430.0,35430.0,0.47
1396,2016_17,Dillard University,New Orleans,LA,Bachelor's,NO,39.4,931.0,470.0,465.0,20.0,1261.0,1.11,89.37,0.48,0.0,29900.0,17064.0,17064.0,0.39
1398,2016_17,Grambling State University,Grambling,LA,Bachelor's,NO,45.14,874.0,435.0,455.0,18.0,3882.0,0.75,90.75,1.21,0.13,24632.0,7371.0,16394.0,0.34
1403,2016_17,Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,Bachelor's,NO,,,,,,873.0,74.11,10.19,5.61,7.45,,,,
1404,2016_17,Louisiana State University-Alexandria,Alexandria,LA,Bachelor's,NO,33.32,969.0,485.0,455.0,21.0,2579.0,65.41,18.42,2.6,1.01,13520.0,6668.0,13934.0,0.26
1405,2016_17,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,Bachelor's,NO,76.39,1162.0,560.0,570.0,26.0,24365.0,72.48,12.16,6.19,4.25,24441.0,10814.0,27491.0,0.68
1407,2016_17,Louisiana State University-Shreveport,Shreveport,LA,Bachelor's,NO,88.57,1048.0,512.0,484.0,23.0,2199.0,56.66,22.24,4.09,2.09,17043.0,7146.0,20300.0,0.36
1411,2016_17,Louisiana College,Pineville,LA,Bachelor's,NO,72.19,970.0,495.0,470.0,21.0,868.0,62.44,29.38,2.07,0.69,24134.0,15978.0,15978.0,0.35
1413,2016_17,Louisiana Tech University,Ruston,LA,Bachelor's,NO,63.19,1105.0,535.0,555.0,24.0,8009.0,69.08,13.88,3.88,1.21,18954.0,9117.0,25851.0,0.52
1414,2016_17,Loyola University New Orleans,New Orleans,LA,Bachelor's,NO,67.75,1165.0,575.0,555.0,26.0,2391.0,52.36,15.68,17.11,3.01,52014.0,38754.0,38754.0,0.55
1415,2016_17,McNeese State University,Lake Charles,LA,Bachelor's,NO,63.7,1027.0,465.0,535.0,22.0,6083.0,67.19,17.79,3.07,1.59,17940.0,7310.0,18385.0,0.42
1416,2016_17,University of New Orleans,New Orleans,LA,Bachelor's,NO,60.05,1034.0,540.0,550.0,22.0,5987.0,53.13,15.83,12.31,8.45,18164.0,8484.0,22301.0,0.36
1418,2016_17,Nicholls State University,Thibodaux,LA,Bachelor's,NO,82.66,1030.0,494.0,546.0,22.0,5278.0,66.77,21.41,3.73,1.1,18549.0,7641.0,18572.0,0.47
1419,2016_17,University of Louisiana at Monroe,Monroe,LA,Bachelor's,NO,76.13,1057.0,570.0,585.0,23.0,6150.0,62.31,24.76,2.1,1.8,18491.0,8284.0,20384.0,0.43
1421,2016_17,Notre Dame Seminary Graduate School of Theology,New Orleans,LA,Bachelor's,NO,,,,,,17.0,70.59,5.88,11.76,5.88,,,,
1422,2016_17,Northwestern State University of Louisiana,Natchitoches,LA,Bachelor's,NO,61.8,1006.0,485.0,505.0,22.0,7498.0,53.57,31.22,5.88,0.68,20263.0,7620.0,18408.0,0.35
1423,2016_17,University of Holy Cross,New Orleans,LA,Bachelor's,NO,39.57,950.0,,,20.0,762.0,25.59,16.14,6.43,3.54,19397.0,11632.0,11632.0,0.28
1424,2016_17,Franciscan Missionaries of Our Lady University,Baton Rouge,LA,Bachelor's,NO,53.9,1010.0,,,22.0,1215.0,59.75,18.11,10.29,3.05,25763.0,12046.0,12046.0,0.47
1430,2016_17,Saint Joseph Seminary College,St. Benedict,LA,Bachelor's,NO,,,,,,153.0,62.09,1.31,28.1,3.92,33817.0,16913.0,16913.0,0.56
1437,2016_17,Southeastern Louisiana University,Hammond,LA,Bachelor's,NO,87.3,1010.0,,,22.0,10839.0,62.97,19.62,8.24,0.72,18397.0,7773.0,20251.0,0.4
1438,2016_17,Southern University and A & M College,Baton Rouge,LA,Bachelor's,NO,98.79,1080.0,480.0,490.0,24.0,4858.0,2.7,92.45,0.64,0.33,19955.0,9332.0,19332.0,0.29
1439,2016_17,Southern University at New Orleans,New Orleans,LA,Bachelor's,NO,11.54,850.0,,,18.0,1745.0,2.35,82.87,0.46,0.46,11515.0,6421.0,15322.0,0.16
1441,2016_17,University of Louisiana at Lafayette,Lafayette,LA,Bachelor's,NO,51.1,1089.0,525.0,535.0,24.0,15030.0,62.97,20.44,4.76,2.2,18910.0,9450.0,23178.0,0.45
1443,2016_17,Tulane University of Louisiana,New Orleans,LA,Bachelor's,NO,25.5,1346.0,665.0,660.0,31.0,7924.0,70.91,8.56,6.51,3.94,64926.0,51010.0,51010.0,0.83
1444,2016_17,Xavier University of Louisiana,New Orleans,LA,Bachelor's,NO,61.95,1054.0,508.0,493.0,23.0,2214.0,2.71,79.81,3.21,7.81,32796.0,23046.0,23046.0,0.42
