"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","Year"
"Normal","Quincy University",53,957,40447,"2019_20"
"Normal","Robert Morris University Illinois",40,1495,38814,"2019_20"
"Normal","Rockford University",41,943,41928,"2019_20"
"Normal","Roosevelt University",41,2293,44929,"2019_20"
"Normal","Dominican University",64,2137,41882,"2019_20"
"Normal","University of St Francis",62,1646,41946,"2019_20"
"Normal","Saint Xavier University",56,2943,41349,"2019_20"
"Normal","University of Illinois Springfield",54,2613,24610,"2019_20"
"Normal","Southern Illinois University-Carbondale",48,8375,28904,"2019_20"
"Normal","Southern Illinois University-Edwardsville",51,10339,24012,"2019_20"
"Normal","Telshe Yeshiva-Chicago",6,71,17680,"2019_20"
"Normal","Trinity Christian College",67,926,42109,"2019_20"
"Normal","Trinity International University-Illinois",59,565,45579,"2019_20"
"Normal","VanderCook College of Music",67,74,36664,"2019_20"
"Normal","Western Illinois University",51,5958,25732,"2019_20"
"Normal","Wheaton College",89,2358,49214,"2019_20"
"Normal","Anderson University",60,1266,43443,"2019_20"
"Normal","Ball State University",67,15610,24093,"2019_20"
"Normal","Bethel University",67,1174,39577,"2019_20"
"Normal","Butler University",82,4535,59326,"2019_20"
"Normal","Calumet College of Saint Joseph",44,543,23888,"2019_20"
"Normal","DePauw University",84,1944,64924,"2019_20"
"Normal","Earlham College",64,919,59782,"2019_20"
"Normal","University of Evansville",68,1876,50135,"2019_20"
"Normal","Franklin College",65,891,45152,"2019_20"
"Normal","Goshen College",65,802,45214,"2019_20"
"Normal","Grace College and Theological Seminary",69,1377,35338,"2019_20"
"Normal","Hanover College",69,1065,51622,"2019_20"
"Normal","Holy Cross College",51,445,43943,"2019_20"
"Normal","Huntington University",70,996,37488,"2019_20"
"Normal","Purdue University Fort Wayne",40,6750,18450,"2019_20"
"Normal","Indiana University-Purdue University-Indianapolis",50,20500,20613,"2019_20"
"Normal","University of Indianapolis",60,4385,43005,"2019_20"
"Normal","Indiana Institute of Technology",37,1488,39158,"2019_20"
"Normal","University of Southern Indiana",50,7029,19721,"2019_20"
"Normal","Indiana State University",41,9603,22318,"2019_20"
"Normal","Indiana University-Kokomo",38,2752,16112,"2019_20"
"Normal","Indiana University-South Bend",38,4432,16128,"2019_20"
"Normal","Indiana University-Bloomington",79,32794,24698,"2019_20"
"Normal","Indiana University-Northwest",35,3286,13845,"2019_20"
"Normal","Indiana University-Southeast",36,4316,16942,"2019_20"
"Normal","Indiana University-East",40,3135,15180,"2019_20"
"Normal","Manchester University",55,1072,44416,"2019_20"
"Normal","Marian University",63,2237,48252,"2019_20"
"Normal","Indiana Wesleyan University-Marion",71,2582,38455,"2019_20"
"Normal","Martin University",9,214,22222,"2019_20"
"Normal","University of Notre Dame",96,8689,71780,"2019_20"
"Normal","Oakland City University",52,602,37276,"2019_20"
"Single","Rose-Hulman Institute of Technology",86,1992,67697,"2019_20"
"Normal","University of Saint Francis-Fort Wayne",55,1741,39513,"2019_20"
"Normal","Saint Mary-of-the-Woods College",56,755,42872,"2019_20"
"Normal","Saint Mary's College",79,1425,56712,"2019_20"
"Normal","Taylor University",77,1834,47199,"2019_20"
"Normal","Trine University",63,2120,46440,"2019_20"
"Normal","Valparaiso University",71,2965,51907,"2019_20"
"Normal","Wabash College",74,866,57250,"2019_20"
"Normal","Briar Cliff University",40,791,44276,"2019_20"
"Normal","Buena Vista University",60,1414,46556,"2019_20"
"Normal","Central College",67,1113,52097,"2019_20"
"Normal","Clarke University",63,669,46369,"2019_20"
"Normal","Coe College",66,1377,56849,"2019_20"
"Normal","Cornell College",69,1017,58286,"2019_20"
"Normal","Dordt University",75,1313,44756,"2019_20"
"Normal","Drake University",81,2902,56051,"2019_20"
"Normal","University of Dubuque",43,1894,45455,"2019_20"
"Normal","Emmaus Bible College",67,203,28176,"2019_20"
"Normal","Faith Baptist Bible College and Theological Seminary",43,264,27863,"2019_20"
"Normal","Graceland University-Lamoni",46,966,42440,"2019_20"
"Normal","Grand View University",55,1725,38633,"2019_20"
"Normal","Grinnell College",89,1697,67902,"2019_20"
"Normal","Iowa State University",74,27930,21093,"2019_20"
"Normal","Iowa Wesleyan University",31,591,39906,"2019_20"
"Normal","University of Iowa",72,22920,24239,"2019_20"
"Normal","Loras College",67,1288,45268,"2019_20"
"Normal","Luther College",75,1918,55756,"2019_20"
"Normal","Maharishi International University",67,456,28730,"2019_20"
"Normal","Mercy College of Health Sciences",33,791,29130,"2019_20"
"Normal","Morningside College",62,1216,45125,"2019_20"
"Normal","Mount Mercy University",64,1429,45764,"2019_20"
"Normal","Ashford University",8,26394,24972,"2019_20"
"Normal","University of Northern Iowa",67,8788,20632,"2019_20"
"Normal","Northwestern College",68,1038,44461,"2019_20"
"Normal","Saint Ambrose University",64,2249,45709,"2019_20"
"Normal","Simpson College",72,1296,51943,"2019_20"
"Normal","Upper Iowa University",48,3438,43750,"2019_20"
"Normal","Waldorf University",30,2461,33998,"2019_20"
"Normal","Wartburg College",62,1478,53503,"2019_20"
"Normal","William Penn University",34,1162,37654,"2019_20"
"Normal","Baker University",64,1390,45149,"2019_20"
"Normal","Benedictine College",65,1953,44717,"2019_20"
"Normal","Bethany College",34,762,44829,"2019_20"
"Normal","Bethel College-North Newton",44,450,42063,"2019_20"
"Normal","Central Christian College of Kansas",32,591,30061,"2019_20"
"Normal","Emporia State University",50,3258,18820,"2019_20"
"Normal","Fort Hays State University",43,12828,17169,"2019_20"
"Normal","Barclay College",49,188,32500,"2019_20"
"Normal","Friends University",48,1032,40226,"2019_20"
"Normal","University of Kansas",67,19003,25892,"2019_20"
"Normal","Newman University",52,997,38854,"2019_20"
"Normal","Kansas State University",65,16949,24304,"2019_20"
"Normal","Kansas Wesleyan University",42,637,41840,"2019_20"
"Normal","Manhattan Christian College",59,171,33820,"2019_20"
"Normal","McPherson College",41,764,43011,"2019_20"
"Normal","MidAmerica Nazarene University",43,1115,46178,"2019_20"
"Normal","Ottawa University-Ottawa",51,673,45255,"2019_20"
"Normal","Pittsburg State University",52,4890,18267,"2019_20"
"Normal","University of Saint Mary",52,763,40685,"2019_20"
"Normal","Southwestern College",42,1330,44558,"2019_20"
"Normal","Sterling College",53,563,37242,"2019_20"
"Normal","Tabor College",43,519,43760,"2019_20"
"Normal","Washburn University",46,4571,19676,"2019_20"
"Normal","Wichita State University",50,11199,19593,"2019_20"
"Normal","Alice Lloyd College",52,575,25108,"2019_20"
"Normal","Asbury University",68,1584,40917,"2019_20"
"Normal","Bellarmine University",66,2481,57178,"2019_20"
"Normal","Berea College",68,1652,49854,"2019_20"
"Normal","Brescia University",34,843,34750,"2019_20"
"Normal","Campbellsville University",36,2721,38715,"2019_20"
"Normal","Centre College",84,1401,55253,"2019_20"
"Normal","Clear Creek Baptist Bible College",20,98,19139,"2019_20"
"Normal","University of the Cumberlands",44,3335,35844,"2019_20"
"Normal","Eastern Kentucky University",45,11582,22867,"2019_20"
"Normal","Georgetown College",45,945,51602,"2019_20"
"Normal","Kentucky Mountain Bible College",42,64,15051,"2019_20"
"Normal","Kentucky State University",25,1419,16750,"2019_20"
"Normal","Kentucky Wesleyan College",45,835,37751,"2019_20"
"Normal","University of Kentucky",66,21864,29289,"2019_20"
"Normal","Kentucky Christian University",35,539,32896,"2019_20"
"Normal","Lindsey Wilson College",38,1914,38168,"2019_20"
